"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/mugla-ula-gokova-kiralik/daire/94718-2625","11","34.000","25-01-2025","Kiralık Daire","3 +
                          1","93 m²","1
                        Yaşında","Villa Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Muğla Ula Gökova'da Kiralık 3+1 Tripleks Daire","Muğla / Ula / Gökova Mah.","https://www.hepsiemlak.com/emlak-ofisi/kdm-gayrimenkul-mugla-94718","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/1/7/4/9/0/3ce98b38-235d-40c2-9268-4a6731df2f0c.jpg","Kdm Gayrimenkul Muğla",""
"https://www.hepsiemlak.com/mugla-bodrum-kucukbuk-kiralik/daire/19604-560","25","24.500","25-01-2025","Kiralık Daire","1 +
                          1","60 m²","15
                        Yaşında","Bahçe Katı","","","","Gündoğan Küçükbükte 1+1 Kiralık Bahçe Katı","Muğla / Bodrum / Küçükbük Mah.","","","",""
"https://www.hepsiemlak.com/mugla-bodrum-kumbahce-kiralik/mustakil-ev/0-44094495","12","90.000","26-01-2025","Kiralık Müstakil Ev","3 +
                          1","240 m²","15
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kumbahçe De Eşyalı Kiralık Lüks Dubleks+teras","Muğla / Bodrum / Kumbahçe Mah.","","","",""
"https://www.hepsiemlak.com/mugla-mentese-orhaniye-kiralik/daire/124101-791","21","28.000","25-01-2025","Kiralık Daire","3 +
                          1","150 m²","25
                        Yaşında","3. Kat","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/0/1/4/2/1/54cbe0d9-cd03-40da-bc3d-d9e1074f6588.jpg","","Ege Emlak Yatırımdan Muğla Orhaniye De Manzaralı Geniş Asansörlü Kiralık 3+1 Daire","Muğla / Menteşe / Orhaniye Mah.","https://www.hepsiemlak.com/emlak-ofisi/ege-emlak-yatirim-124101","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/3/0/6/9/3/4/1735572029-919132-43960397.jpeg","Ege Emlak Yatırım",""
"https://www.hepsiemlak.com/mugla-bodrum-mumcular-kiralik/daire/144652-95","5","16.000","26-01-2025","Kiralık Daire","2 +
                          1","85 m²","5
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/5/6/4/4/1/605951ca-d6b9-4bb4-bd57-473cd7bc29f2.jpg","EİDS onaylı","Bodrum Mumcular 2+1 Eşyasız Yıllık Kiralık Orta Kat Daire","Muğla / Bodrum / Mumcular Mah.","https://www.hepsiemlak.com/emlak-ofisi/suzan-real-estate-bodrum-144652","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/8/4/0/1/8/3/4/1733399515540-43810485.jpg","Suzan Real Estate Bodrum","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
"https://www.hepsiemlak.com/mugla-marmaris-cildir-kiralik/daire/58183-3133","5","20.000","25-01-2025","Kiralık Daire","1 +
                          1","50 m²","20
                        Yaşında","1. Kat","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/8/1/8/5/0/ba50c064-90e4-43fb-979e-4c2e4aceb456.jpg","","Prestij - Çıldır Mahallesi'nde Güzel Konumlu 1+1 Mobilyalı","Muğla / Marmaris / Çıldır Mah.","https://www.hepsiemlak.com/emlak-ofisi/prestij-gayrimenkul-58183","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/0/9/0/8/3/4/1733389002182-43809032.jpg","Prestij Gayrimenkul",""
"https://www.hepsiemlak.com/mugla-bodrum-koyunbaba-kiralik/villa/151403-77","44","50.000","25-01-2025","Kiralık Villa","2 +
                          1","140 m²","1
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/0/4/1/5/1/a5da2361-dd00-4c9e-bcab-7f6d9ebd6726.jpg","EİDS onaylı","Kiralık Gümüşlük 2+1 Havuzlu Villa","Muğla / Bodrum / Koyunbaba Mah.","https://www.hepsiemlak.com/emlak-ofisi/dream-bodrum-151403","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/6/3/9/0/4/4/92988331-c55e-4318-8837-370a50c64081.jpg","Dream Bodrum","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
"https://www.hepsiemlak.com/mugla-mentese-bayir-kiralik/daire/137800-28","23","25.000","26-01-2025","Kiralık Daire","3 +
                          1","97 m²","Sıfır Bina","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bayır Merkezde Kiralık 3+1 Daire","Muğla / Menteşe / Bayır Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/5/5/9/0/4/4/1737818889572-44095570.jpg","",""
"https://www.hepsiemlak.com/mugla-dalaman-hurriyet-kiralik/daire/142514-1","30","23.000","25-01-2025","Kiralık Daire","2 +
                          1","120 m²","8
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/1/5/2/4/1/13ab01c8-3044-4b46-8f0f-7fd41a3ee027.jpg","EİDS onaylı","Dalaman'da Havuzlu Site İçi 2+1 Kiralık Eşyalı Daire","Muğla / Dalaman / Hürriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/ayde-gayrimenkul-142514","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/9/4/9/0/4/4/4474a902-8b3b-40c8-b9c5-7fd74fcc6f11.jpg","Ayde Gayrimenkul","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
"https://www.hepsiemlak.com/mugla-fethiye-patlangic-kiralik/daire/135231-1537","36","25.000","24-01-2025","Kiralık Daire","3 +
                          1","130 m²","12
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/5/3/1/b5b55884-530a-41f0-b554-f54b8c608367.jpg","EİDS onaylı","Stop’tan Patlangıç 3+1 Kiralık Daire","Muğla / Fethiye / Patlangıç Mah.","https://www.hepsiemlak.com/emlak-ofisi/stop-gayrimenkul-135231","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/9/8/8/0/4/4/deceba88-f7a3-4d62-bb25-6d3893326d4c.jpg","Stop Gayrimenkul","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
